customer_id,year,month,weekend_amount_spent,Num_of_weekend_visits,total_amount_spent,total_num_of_visits,end_date
305685,2019,3,4326.61,1,6338.83,3,2019/03/31
351063,2018,12,100.0,0,9385.81,4,2018/12/31
308269,2018,8,963.12,3,10181.22,14,2018/08/31
227987,2019,2,100.0,0,4525.09,4,2019/02/28
224150,2019,7,100.0,0,17115.4,4,2019/07/31
522953,2019,7,3852.02,1,5003.61,2,2019/07/31
169212,2019,2,100.0,0,9062.05,4,2019/02/28
388740,2018,3,2842.47,2,7862.92,5,2018/03/31
180840,2018,5,100.0,0,790.0,1,2018/05/31
171076,2018,5,100.0,0,2154.16,2,2018/05/31
231345,2019,2,100.0,0,21154.84,6,2019/02/28
234224,2018,11,100.0,0,24516.81,3,2018/11/30
366397,2018,12,100.0,0,2986.75,2,2018/12/31
401477,2018,12,4293.16,3,9291.64,6,2018/12/31
226355,2018,5,100.0,0,3514.0,7,2018/05/31
289472,2018,11,4664.5,2,9542.46,7,2018/11/30
292028,2018,5,100.0,0,1210.0,1,2018/05/31
427667,2018,6,100.0,0,7107.51,3,2018/06/30
453588,2018,10,1843.99,2,6203.98,6,2018/10/31
178114,2018,9,100.0,0,11498.04,4,2018/09/30
429115,2017,11,3453.25,2,4041.58,3,2017/11/30
218708,2018,5,100.0,0,10704.88,4,2018/05/31
322454,2017,6,55651.66,3,55651.66,3,2017/06/30
373813,2018,2,13547.72,1,66697.9,7,2018/02/28
204627,2018,6,9135.61,3,22631.35,8,2018/06/30
506108,2018,8,8261.29,2,19394.61,4,2018/08/31
317646,2018,8,100.0,0,400.0,1,2018/08/31
273934,2017,9,6104.88,1,9003.88,3,2017/09/30
235706,2017,9,1832.5,2,18489.0,4,2017/09/30
494428,2017,9,343.0,1,604.0,2,2017/09/30
421625,2019,4,3674.5,1,10255.45,5,2019/04/30
421468,2017,4,3595.92,1,4190.52,2,2017/04/30
521457,2017,4,11426.02,1,13931.02,2,2017/04/30
406601,2017,7,3643.0,1,4325.5,5,2017/07/31
194608,2017,3,100.0,0,4369.0,1,2017/03/31
187883,2017,2,2040.0,1,14036.06,6,2017/02/28
398908,2017,2,29202.1,3,34482.27,5,2017/02/28
254804,2017,3,4926.78,4,12979.53,11,2017/03/31
286679,2017,3,1120.0,1,2650.0,3,2017/03/31
268409,2017,2,2811.06,3,12217.2,7,2017/02/28
225703,2017,2,100.0,0,493.09,1,2017/02/28
379383,2017,3,5444.97,2,9444.93,3,2017/03/31
520643,2017,3,100.0,0,7040.44,2,2017/03/31
196851,2019,12,1636.0,1,9659.82,6,2019/12/31
403944,2019,4,100.0,0,5664.78,2,2019/04/30
438461,2019,11,36309.55,5,44339.68,11,2019/11/30
397000,2018,12,100.0,0,4448.5,1,2018/12/31
406819,2018,12,851.5,2,8653.75,9,2018/12/31
191110,2018,4,100.0,0,3553.75,3,2018/04/30
346451,2018,10,2250.3,2,2250.3,2,2018/10/31
217706,2018,10,2554.88,2,5812.2,6,2018/10/31
262520,2019,11,100.0,0,10289.95,2,2019/11/30
518266,2019,11,100.0,0,27410.74,5,2019/11/30
388333,2019,7,5841.7,1,8755.3,4,2019/07/31
289273,2019,7,3282.52,2,3560.02,3,2019/07/31
310237,2019,11,100.0,0,3325.0,2,2019/11/30
481063,2019,12,100.0,0,685.0,3,2019/12/31
277732,2019,7,36692.8,5,43411.06,6,2019/07/31
271973,2018,12,35982.7,1,36777.22,2,2018/12/31
237839,2019,1,7456.21,2,7456.21,2,2019/01/31
330836,2018,8,4166.65,2,6462.55,3,2018/08/31
445276,2018,7,536.5,2,536.5,2,2018/07/31
481371,2019,7,10738.74,1,33448.28,4,2019/07/31
436465,2018,11,100.0,0,9524.28,3,2018/11/30
516082,2018,8,2340.73,1,2340.73,1,2018/08/31
516444,2019,2,100.0,0,415.0,1,2019/02/28
419518,2018,4,100.0,0,2245.0,1,2018/04/30
356653,2018,2,6520.0,1,12042.19,3,2018/02/28
210904,2018,7,662.5,1,2652.87,2,2018/07/31
208355,2018,7,2642.5,2,2642.5,2,2018/07/31
271189,2018,2,33522.67,2,36343.89,3,2018/02/28
346451,2019,6,100.0,0,2113.3,1,2019/06/30
382627,2017,12,2296.87,1,3658.71,2,2017/12/31
295742,2017,12,5411.86,1,14904.32,4,2017/12/31
474126,2018,12,100.0,0,8508.25,1,2018/12/31
279623,2018,12,100.0,0,6601.08,2,2018/12/31
194960,2018,2,524.5,1,5624.44,3,2018/02/28
353378,2019,5,833.64,1,6458.84,3,2019/05/31
281355,2017,12,20815.66,4,31750.74,8,2017/12/31
197941,2017,12,1770.25,1,14809.44,7,2017/12/31
447178,2017,12,100.0,0,2050.0,1,2017/12/31
359032,2017,7,1796.91,1,2191.06,2,2017/07/31
225103,2018,6,100.0,0,4965.88,4,2018/06/30
306729,2017,7,3597.75,2,3837.75,3,2017/07/31
298618,2017,7,2072.02,1,2417.02,2,2017/07/31
384060,2017,11,3854.64,1,10736.66,4,2017/11/30
232778,2017,5,63248.67,6,72045.82,8,2017/05/31
395468,2017,5,12115.0,3,19013.5,6,2017/05/31
490576,2018,9,100.0,0,2768.71,1,2018/09/30
526260,2017,11,100.0,0,767.5,1,2017/11/30
411068,2017,7,760.0,1,8088.07,5,2017/07/31
275333,2017,12,100.0,0,2086.0,1,2017/12/31
264670,2017,5,100.0,0,340.0,1,2017/05/31
517271,2017,4,100.0,0,795.25,2,2017/04/30
196851,2017,11,1477.75,2,6829.0,6,2017/11/30
434251,2017,2,2306.46,1,2306.46,1,2017/02/28
357203,2017,2,937.9,1,937.9,1,2017/02/28
390467,2017,11,100.0,0,9539.41,4,2017/11/30
466177,2017,5,2557.47,1,15474.84,7,2017/05/31
410830,2017,9,1339.17,1,4004.05,2,2017/09/30
298140,2019,10,3381.79,1,24497.2,3,2019/10/31
251216,2018,10,3821.62,1,7633.66,3,2018/10/31
219662,2018,10,567.04,1,567.04,1,2018/10/31
283886,2019,3,100.0,0,723.58,1,2019/03/31
213344,2019,12,100.0,0,12783.12,4,2019/12/31
208944,2018,2,13074.25,2,21114.1,4,2018/02/28
384131,2018,7,32133.85,4,42752.35,5,2018/07/31
464442,2017,12,6792.1,2,16005.1,4,2017/12/31
329437,2017,12,6506.05,4,6506.05,4,2017/12/31
184374,2018,10,16082.5,2,17801.02,4,2018/10/31
417652,2018,2,268.48,1,343.81,2,2018/02/28
186411,2019,5,100.0,0,1000.0,1,2019/05/31
216042,2018,7,100.0,0,850.0,1,2018/07/31
381326,2018,3,237.61,1,2076.61,4,2018/03/31
439609,2018,2,100.0,0,1900.0,2,2018/02/28
199107,2018,5,100.0,0,1775.92,2,2018/05/31
514427,2018,6,100.0,0,11559.4,5,2018/06/30
468338,2017,9,5871.91,1,6471.91,2,2017/09/30
289472,2017,4,1920.37,1,18006.3,3,2017/04/30
417190,2017,7,580.0,1,580.0,1,2017/07/31
449589,2019,7,3321.3,1,4315.17,2,2019/07/31
511830,2019,3,8139.52,2,15766.48,4,2019/03/31
340722,2018,4,1828.0,1,1828.0,1,2018/04/30
520643,2018,4,1210.0,1,1210.0,1,2018/04/30
420684,2019,6,100.0,0,1024.62,1,2019/06/30
265193,2019,10,100.0,0,1603.51,2,2019/10/31
195290,2018,5,100.0,0,2416.69,1,2018/05/31
220827,2019,4,100.0,0,2740.0,2,2019/04/30
447627,2019,1,100.0,0,745.0,1,2019/01/31
407584,2017,7,5415.03,1,5415.03,1,2017/07/31
345132,2018,10,100.0,0,14154.79,4,2018/10/31
284363,2017,8,235.0,1,235.0,1,2017/08/31
330107,2018,7,100.0,0,694.0,2,2018/07/31
343829,2017,4,711.7,1,1667.2,2,2017/04/30
240659,2017,11,100.0,0,953.5,2,2017/11/30
241960,2017,9,100.0,0,1153.0,1,2017/09/30
522257,2017,6,100.0,0,3502.5,1,2017/06/30
182952,2017,2,100.0,0,10019.5,2,2017/02/28
395468,2019,12,12730.0,2,25243.0,3,2019/12/31
337688,2019,12,2482.6,1,4951.54,2,2019/12/31
242010,2019,9,3619.12,7,3619.12,7,2019/09/30
410937,2018,11,2399.5,1,5774.5,2,2018/11/30
411538,2019,1,5833.42,1,5833.42,1,2019/01/31
455389,2019,1,2880.76,1,2880.76,1,2019/01/31
184431,2019,8,100.0,0,13253.94,2,2019/08/31
334738,2019,3,100.0,0,227.5,1,2019/03/31
296516,2019,9,100.0,0,9722.5,4,2019/09/30
414501,2018,5,100.0,0,619.54,1,2018/05/31
200838,2018,9,100.0,0,1499.5,1,2018/09/30
409431,2017,5,3795.96,2,3795.96,2,2017/05/31
288163,2018,1,100.0,0,1517.5,2,2018/01/31
179678,2018,3,100.0,0,11359.0,1,2018/03/31
426086,2017,4,422.5,1,422.5,1,2017/04/30
336199,2018,4,100.0,0,470.86,1,2018/04/30
302323,2017,12,100.0,0,11118.94,1,2017/12/31
402678,2018,3,430.0,1,3510.98,4,2018/03/31
301204,2018,2,100.0,0,6596.5,2,2018/02/28
449054,2017,3,2523.96,1,3407.46,2,2017/03/31
490190,2019,12,100.0,0,1997.5,1,2019/12/31
353152,2018,9,4216.69,1,4216.69,1,2018/09/30
233154,2019,9,100.0,0,370.0,1,2019/09/30
349468,2019,2,100.0,0,729.52,1,2019/02/28
498453,2017,5,100.0,0,530.44,1,2017/05/31
258655,2017,8,3415.0,1,6985.0,2,2017/08/31
354480,2018,9,100.0,0,295.0,1,2018/09/30
355379,2019,5,100.0,0,1705.0,1,2019/05/31
238036,2017,12,100.0,0,4271.83,1,2017/12/31
244892,2017,5,100.0,0,13783.31,4,2017/05/31
393694,2018,1,100.0,0,1380.01,1,2018/01/31
440524,2017,10,100.0,0,3140.27,1,2017/10/31
184431,2017,5,100.0,0,2245.63,1,2017/05/31
218748,2017,8,100.0,0,1240.0,1,2017/08/31
181822,2017,12,19903.77,4,29750.08,6,2017/12/31
211397,2019,12,5293.41,5,12265.48,12,2019/12/31
228474,2019,12,6001.0,1,44978.65,3,2019/12/31
309140,2019,10,14797.21,3,32170.96,19,2019/10/31
285892,2019,11,13821.04,7,18164.07,16,2019/11/30
357179,2019,11,14869.81,12,20190.67,19,2019/11/30
381861,2019,11,5757.58,1,5757.58,1,2019/11/30
425804,2019,11,12815.56,5,18950.26,9,2019/11/30
285371,2019,7,4606.0,2,28740.91,4,2019/07/31
465342,2019,7,14843.44,10,16023.94,17,2019/07/31
476929,2019,6,7453.84,4,19497.19,14,2019/06/30
263617,2019,6,51462.63,7,70058.58,15,2019/06/30
243964,2019,6,37626.12,4,51396.12,8,2019/06/30
170583,2019,6,14780.01,3,33544.14,8,2019/06/30
352445,2019,6,6946.12,4,47449.1,9,2019/06/30
383090,2019,6,492.28,1,602.74,2,2019/06/30
357431,2019,6,4960.39,5,6706.39,8,2019/06/30
247206,2019,10,2230.24,2,12660.04,5,2019/10/31
357431,2019,12,8021.35,3,22855.5,8,2019/12/31
171793,2019,12,11145.01,2,40041.61,9,2019/12/31
300733,2019,12,100.0,0,73862.97,10,2019/12/31
254480,2019,12,1313.56,2,27064.75,11,2019/12/31
238392,2019,5,7334.26,3,17258.49,8,2019/05/31
342134,2019,5,4037.11,4,11247.85,7,2019/05/31
180344,2019,5,4245.16,1,32672.95,4,2019/05/31
218708,2019,5,3376.54,1,4404.04,2,2019/05/31
179494,2018,11,6523.72,2,31230.25,10,2018/11/30
307669,2018,9,5529.52,3,6339.04,4,2018/09/30
219630,2018,5,3431.8,1,10199.95,4,2018/05/31
321393,2018,11,45682.45,3,58364.53,6,2018/11/30
452559,2018,4,7498.81,5,7498.81,5,2018/04/30
462832,2018,4,18073.51,2,23010.25,3,2018/04/30
223542,2019,9,1270.0,2,6079.0,6,2019/09/30
426937,2018,11,1598.5,4,7885.0,14,2018/11/30
205724,2018,3,18108.67,9,42875.4,36,2018/03/31
336463,2018,3,5401.84,2,10422.85,4,2018/03/31
169544,2019,1,22648.78,14,40669.17,28,2019/01/31
225929,2019,1,4407.63,3,10757.53,10,2019/01/31
260221,2018,9,5887.48,1,14223.6,5,2018/09/30
264670,2018,9,955.0,2,1240.0,4,2018/09/30
425804,2018,9,9418.77,4,13275.27,8,2018/09/30
316512,2018,6,16692.16,8,40075.99,15,2018/06/30
359013,2018,6,2856.4,4,2856.4,4,2018/06/30
350317,2018,9,3766.6,1,10268.08,2,2018/09/30
269699,2019,3,100.0,0,1124.5,2,2019/03/31
511154,2019,3,100.0,0,3859.0,2,2019/03/31
324680,2019,10,3199.51,2,35509.03,8,2019/10/31
416294,2019,10,6096.19,3,25939.32,11,2019/10/31
220757,2018,3,1364.5,1,1451.5,2,2018/03/31
314521,2018,3,2139.52,4,2327.02,5,2018/03/31
249737,2018,10,32406.36,5,40549.0,7,2018/10/31
355375,2018,10,1704.52,1,3241.15,2,2018/10/31
502738,2018,10,2240.83,2,11083.08,12,2018/10/31
244602,2018,10,17769.63,3,24813.32,7,2018/10/31
169785,2018,10,8918.5,2,13507.0,4,2018/10/31
425804,2019,9,3725.5,4,14540.5,13,2019/09/30
310855,2019,9,20081.53,8,49310.97,20,2019/09/30
252425,2018,9,1390.0,1,13082.02,6,2018/09/30
460107,2019,6,1083.7,2,18781.93,8,2019/06/30
406819,2019,6,100.0,0,1367.5,2,2019/06/30
173715,2019,10,100.0,0,5054.5,6,2019/10/31
408652,2019,10,52599.54,3,92219.01,12,2019/10/31
500999,2018,9,1480.0,2,3061.0,4,2018/09/30
475703,2019,3,2770.66,1,18495.52,8,2019/03/31
330098,2019,3,5038.33,3,6489.75,5,2019/03/31
276717,2019,3,1286.65,1,7636.18,3,2019/03/31
438445,2019,7,100.0,0,42050.31,10,2019/07/31
433779,2018,12,10177.11,4,26115.76,11,2018/12/31
273908,2018,8,2965.0,1,11916.55,6,2018/08/31
218666,2018,8,4595.65,4,21081.46,10,2018/08/31
506391,2018,8,5571.52,4,37189.36,18,2018/08/31
352138,2019,2,1981.0,1,5587.33,3,2019/02/28
352569,2019,8,100.0,0,2530.0,3,2019/08/31
224150,2019,8,100.0,0,7543.27,2,2019/08/31
204627,2018,4,100.0,0,27691.66,9,2018/04/30
214358,2018,4,36293.59,9,124605.14,33,2018/04/30
365942,2018,5,8292.13,2,9429.15,4,2018/05/31
236142,2018,5,17047.15,2,32932.36,5,2018/05/31
209675,2018,3,6335.41,1,6335.41,1,2018/03/31
437522,2018,5,100.0,0,11651.56,6,2018/05/31
290676,2018,5,3399.63,1,22246.11,17,2018/05/31
390398,2018,5,100.0,0,4809.82,2,2018/05/31
390294,2019,2,16906.24,5,40948.63,16,2019/02/28
288836,2019,5,2305.0,1,15082.24,12,2019/05/31
461079,2018,11,100.0,0,12842.44,4,2018/11/30
316412,2019,3,100.0,0,37631.02,5,2019/03/31
406819,2019,1,100.0,0,8867.5,5,2019/01/31
355750,2018,12,13161.43,5,22194.24,17,2018/12/31
401088,2017,11,12564.52,3,16926.97,7,2017/11/30
357023,2017,11,2382.7,2,12604.75,5,2017/11/30
192906,2018,5,100.0,0,1673.23,1,2018/05/31
303447,2018,5,178.0,1,6015.61,8,2018/05/31
196682,2017,4,15109.3,4,34514.26,12,2017/04/30
302055,2017,4,865.0,2,18373.44,8,2017/04/30
407584,2018,1,12204.9,4,15097.3,9,2018/01/31
297385,2018,1,13438.84,2,18937.84,3,2018/01/31
341451,2018,11,8495.56,1,22482.01,4,2018/11/30
186303,2018,10,2340.82,1,15240.73,7,2018/10/31
335395,2018,8,15424.66,2,19867.92,6,2018/08/31
404889,2017,11,16179.34,6,39354.48,14,2017/11/30
453588,2018,5,100.0,0,5104.69,3,2018/05/31
221657,2018,8,1891.0,1,3713.34,5,2018/08/31
353534,2018,8,100.0,0,295.0,1,2018/08/31
196839,2017,6,18217.74,9,40372.17,22,2017/06/30
311216,2017,6,12818.88,8,37296.39,20,2017/06/30
328529,2018,2,1641.25,1,6565.95,2,2018/02/28
187598,2018,2,4891.38,5,15226.56,18,2018/02/28
